Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
31232-13,31232-13|TRUCK POOL CHEVROLET PICKUP,ACTIVE,FLEET,TRUCK POOL,2013,CHEVROLET,SILVERADO,1GC4KZCG8DF157867
32837-11,"32837-11|TRUCK POOL FORD E450 TRUCK QFC ADDED 12/14/11 - MH",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E450,1FDXE4FLXBDB11266
30821-12,30821-12|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,FORD,TRANSIT,NM0LS7AN8CT078634
32855-13,32855-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW0DDA68927
33885-13,33885-13|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2013,FORD,F150,1FTMF1CM4DKE57599
32884-13,32884-13|TRUCK POOL DODGE CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,DODGE,RAM,2C4JRGAG7DR554422
30822-12,30822-12|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,FORD,TRANSIT,NMOLS7AN5CTO78526
31215-14,31215-14|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2014,FORD,F150,1FTEX1CM3EKE74025
31211-14,31211-14|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2014,FORD,F150,1FTFX1CF4EKF28535
30809-11,"30809-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EWXBDA85367
30813-11,"30813-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW1BDA85371
33819-17,33819-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM7HKB18371
32824-16,32824-16|TRUCK POOL CHEVROLET PICKUP,ACTIVE,FLEET,TRUCK POOL,2016,CHEVROLET,COLORADO,1GCHTBE32G1278735
32903-12,"32903-12|TRUCK POOL FORD VAN/CARGO NUMBER CHANGED FROM 30827 - MH",ACTIVE,FLEET,TRUCK POOL,2012,FORD,TRANSIT CONNECT XL,NM0LS7AN6CT078633
32844-17,32844-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM5HKA37028
32888-17,32888-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YMXHKA75533
32875-08,32875-08|TRUCK POOL INTERNATIONAL 4300 C&C TRUCK,ACTIVE,FLEET,TRUCK POOL,2008,INTERNATIONAL,4300,1HTMMAAL98J681496
33802-06,33802-06|TRUCK POOL INTERNATIONAL VAN,ACTIVE,FLEET,TRUCK POOL,2006,INTERNATIONAL,4000,1HTMMAAM46H217612
33699-08,33699-08|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2008,FORD,RANGER,1FTYR14U08PA08954
33831-08,33831-08|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2008,FORD,ECONLINE,1FTNE24W98DB16965
33835-10,33835-10|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F350,1FTWW3A57AEB36666
32825-99,32825-99|TRUCK POOL GMC TRUCK VAN/BOX,ACTIVE,FLEET,TRUCK POOL,1999,GMC,3500,1GDJG31R7X1004643
30885-10,30885-10|TRUCK POOL DODGE CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2010,DODGE,GRAND CARAVAN,2D4CN1AE3AR175819
35235-10,35235-10|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F350,1FTWW3A59AEB36667
